day,events,time,pedestrians,traffic,speed,rain,fog,clouds
Tuesday,True,afternoon,high,medium,medium,no,light,heavy
Tuesday,True,early evening,low,medium,medium,no,no,no
Tuesday,True,early morning,low,medium,high,moderate,heavy,heavy
Tuesday,True,evening,low,medium,high,no,moderate,moderate
Tuesday,True,late evening,low,medium,high,no,no,heavy
Tuesday,True,late morning,high,medium,high,no,heavy,moderate
Tuesday,True,morning,medium,medium,high,light,heavy,heavy
Tuesday,True,night,low,medium,medium,light,heavy,heavy
Wednesday,False,afternoon,high,medium,medium,no,no,heavy
Wednesday,False,early evening,medium,medium,medium,no,light,heavy
Wednesday,False,early morning,low,medium,high,no,no,heavy
Wednesday,False,evening,low,medium,high,no,moderate,heavy
Wednesday,False,late evening,low,medium,high,no,light,heavy
Wednesday,False,late morning,high,medium,medium,no,no,heavy
Wednesday,False,morning,medium,medium,medium,no,no,heavy
Wednesday,False,night,low,medium,high,no,no,moderate
Thursday,False,afternoon,high,medium,medium,no,light,heavy
Thursday,False,early evening,low,medium,medium,no,light,light
Thursday,False,early morning,low,medium,high,no,heavy,heavy
Thursday,False,evening,low,medium,high,no,no,no
Thursday,False,late evening,low,medium,high,no,no,no
Thursday,False,late morning,high,medium,medium,no,heavy,heavy
Thursday,False,morning,medium,medium,medium,no,heavy,heavy
Thursday,False,night,low,medium,high,no,moderate,heavy
Friday,False,afternoon,high,medium,medium,no,no,heavy
Friday,False,early evening,medium,medium,medium,no,no,heavy
Friday,False,early morning,low,medium,high,no,no,no
Friday,False,evening,low,medium,high,no,no,heavy
Friday,False,late evening,low,medium,high,no,no,heavy
Friday,False,late morning,high,medium,medium,no,no,heavy
Friday,False,morning,medium,medium,medium,no,no,no
Friday,False,night,low,medium,high,no,no,no
Saturday,False,afternoon,medium,medium,medium,light,heavy,no
Saturday,False,early evening,low,medium,medium,light,heavy,moderate
Saturday,False,early morning,low,medium,high,light,moderate,heavy
Saturday,False,evening,low,medium,medium,light,heavy,light
Saturday,False,late evening,low,medium,medium,light,heavy,no
Saturday,False,late morning,medium,medium,medium,light,heavy,no
Saturday,False,morning,medium,medium,high,light,heavy,moderate
Saturday,False,night,low,medium,high,no,no,heavy
Sunday,False,afternoon,high,medium,medium,no,light,no
Sunday,False,early evening,low,medium,medium,no,no,no
Sunday,False,early morning,low,medium,high,no,no,no
Sunday,False,evening,low,medium,medium,no,no,no
Sunday,False,late evening,low,medium,high,no,no,no
Sunday,False,late morning,high,medium,high,no,moderate,no
Sunday,False,morning,medium,medium,high,no,no,no
Sunday,False,night,low,medium,high,no,no,no
Monday,False,afternoon,medium,medium,medium,no,no,heavy
Monday,False,early evening,medium,medium,medium,no,no,no
Monday,False,early morning,low,medium,high,no,no,no
Monday,False,evening,low,medium,high,no,no,heavy
Monday,False,late evening,low,medium,high,no,no,heavy
Monday,False,late morning,medium,medium,medium,no,no,no
Monday,False,morning,medium,medium,medium,no,no,no
Monday,False,night,low,medium,high,no,no,no
Tuesday,False,afternoon,medium,medium,medium,no,moderate,no
Tuesday,False,early evening,low,medium,medium,light,heavy,no
Tuesday,False,early morning,low,medium,medium,no,no,heavy
Tuesday,False,evening,low,medium,medium,no,heavy,no
Tuesday,False,late evening,low,medium,medium,light,heavy,no
Tuesday,False,late morning,medium,medium,medium,light,heavy,no
Tuesday,False,morning,medium,medium,low,light,light,heavy
Tuesday,False,night,low,medium,high,no,no,heavy
